Date,2YO,3YO,4YO,5YO
2019-03-16,119913.15597690598,,,57245.567734749086
2019-03-17,,82723.11256974583,,57308.8976942358
2019-03-18,,83529.9647102819,,
2019-03-19,121028.64356356623,93491.60418676592,68366.12266359467,
2019-03-20,,84556.618979614,68273.38578660139,
2019-03-22,,,68063.50807359445,57379.12252201317
2019-03-23,,84583.73814899258,68910.26703619093,
2019-03-24,120848.14718131564,89478.39214799613,,
2019-03-25,,,68095.84479463779,
2019-03-26,,84487.2022817827,,57587.80417955791
2019-03-27,119675.0647392264,86170.34163151655,,57032.65129684337
2019-03-28,,92571.84321450998,69383.97200780384,
2019-03-30,118412.27703558396,86435.59000084443,68391.74644791045,57766.75380062747
2019-03-31,119262.17233970609,90000.15314536,,
2019-04-01,117069.88920854758,90952.13392671496,69736.16901272051,56353.74041678719
2019-04-02,116007.25415370656,87597.84011706944,69174.37188580283,
2019-04-04,114596.78960644008,89028.84700276189,68670.38717140892,57805.49547116831
2019-04-05,116197.1243812232,,69885.51731409114,
2019-04-06,,,,55897.1817171804
2019-04-07,114149.23835586515,90022.15730214368,,57439.09263888374
2019-04-08,111613.1146026072,88984.66227289187,,57815.18088880352
2019-04-10,113240.57369560696,88575.52699725499,69417.33621880005,
2019-04-11,111107.74572635989,88281.55114537371,,55433.71988167751
2019-04-12,,89402.40735610951,69573.14351069814,
2019-04-13,108626.42578563912,87526.7200262107,,57811.4557281746
2019-04-14,110202.65005534072,86098.17260013314,69629.08435193989,
2019-04-15,107258.15462226524,90038.56536114195,69281.91725483912,
2019-04-16,109117.67732667422,91164.01089035318,,55006.09008012773
2019-04-17,,86224.7527518109,,57652.3736304593
2019-04-18,106616.02406114995,85181.26427453458,69276.71963416375,57353.64157640617
2019-04-19,,91317.04048898949,,
2019-04-20,,,69326.30250283003,
2019-04-21,106079.753686408,92142.84978209672,,56120.16516130891
2019-04-22,105028.68635551231,87569.2145610021,68952.33501177818,
2019-04-23,,,68974.98607335519,
2019-04-24,,,69337.92721063718,
2019-04-25,,92738.15540382823,68536.93821097925,
2019-04-26,,,,55884.803712891175
2019-04-27,104750.66209379151,84021.42351821123,68652.06945001584,
2019-04-29,,93171.35771987574,68328.95661123372,57097.28838897348
2019-04-30,,,,57212.04351788371
2019-05-01,,92267.52152036507,68565.39399706785,54237.784033033735
2019-05-02,105030.94671536372,84054.80729447788,,
2019-05-03,,,68051.64781157301,
2019-05-04,,93262.92894115408,68120.47544857953,56977.83250961413
2019-05-05,,,67922.97593404163,
2019-05-07,105773.9886446929,84054.80729447788,68188.26317611175,53869.31602193466
2019-05-08,,93106.905667976,,
2019-05-09,,,,56660.03472088382
2019-05-10,,92350.15170341171,67675.10963139069,
2019-05-11,,,68121.34574517758,
2019-05-12,106627.17174496246,84271.80184021118,,53491.125527942335
2019-05-13,,92018.86703500822,66922.40980087829,56388.65723424639
2019-05-15,,,67949.57332362438,
